Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number tracked,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Fence,Electrocution,Wind Turbine,Powerline,Other Human,Predation,Disease,Accident/Injury,Starvation,Other Natural,Unknown
Is the decline of burrowing owls Speotyto cunicularia in prairie Canada linked to changes in Great Plains ecosystems?,Clayton,1995,1996,1999,Bird Conservation International,9,2,163,185,Strigiformes,Strigidae,Athene,cunicularia,Juvenile,50.28324,-104.21601,2,12,12,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0
Is the decline of burrowing owls Speotyto cunicularia in prairie Canada linked to changes in Great Plains ecosystems?,Clayton,1995,1996,1999,Bird Conservation International,9,2,163,185,Strigiformes,Strigidae,Athene,cunicularia,Adult,50.28324,-104.21601,5,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Is the decline of burrowing owls Speotyto cunicularia in prairie Canada linked to changes in Great Plains ecosystems?,Clayton,1995,1996,1999,Bird Conservation International,9,2,163,185,Strigiformes,Strigidae,Athene,cunicularia,Juvenile,51.63335,-111.93305,21,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Is the decline of burrowing owls Speotyto cunicularia in prairie Canada linked to changes in Great Plains ecosystems?,Clayton,1995,1996,1999,Bird Conservation International,9,2,163,185,Strigiformes,Strigidae,Athene,cunicularia,Adult,51.63335,-111.93305,23,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Survival, habitat use, and movements of fledgling white-throated robins in a Costa Rican agricultural landscape",Cohen,2001,2002,2004,Auk,121,2,404,414,Passeriformes,Turdidae,Turdus,assimilis,Juvenile,8.94948,-82.83162,53,13,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"Breeding, Survival, movements and foraging of tawny owls strix aluco in a managed spruce forest: a spatial approach",Coles,1996,1998,2000,Thesis: Durham U,,,1,156,Strigiformes,Strigidae,Strix,aluco,Juvenile,55.31149,-2.23737,55,33,30,0,0,0,0,0,0,0,0,0,9,0,1,20,0,3
Northern bobwhite breeding season ecology in southern New Jersey,Collins,2006,2007,2008,Thesis: University of Delaware,,,1,60,Galliformes,Odontophoridae,Colinus,virginianus,Adult,39.43238,-75.33896,80,34,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2
An assessment of annual mortality rates in adult-sized migrant Houbara bustards,Combreau,1994,2000,2000,Animal Conservation,4,2,133,141,Gruiformes,Otidae,Chlamydotis,macqueeni,Adult,30.07386,70.68865,41,10,10,7,0,7,0,0,0,0,0,0,0,0,0,0,3,0
Effect of Trapping Period on Female Wild Turkey Survival and Mortality Patterns,Conner,1989,1994,2006,Wildlife Society Bulletin,34,1,159,166,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,37.67390,-80.40752,1544,307,267,84,37,47,0,0,0,0,0,0,183,0,0,0,0,40
Effect of Trapping Period on Female Wild Turkey Survival and Mortality Patterns,Conner,1989,1994,2006,Wildlife Society Bulletin,34,1,159,166,Galliformes,Phasianidae,Meleagris,gallopavo,Juvenile,37.67390,-80.40752,NA,237,219,94,42,52,0,0,0,0,0,0,125,0,0,0,0,18
Grassland Bird associations in a managed agricultural matrix,Conover,2005,2007,2009,Thesis: Iowa State University,,,1,117,Passeriformes,Cardinalidae,Spiza,americana,Juvenile,34.30000,-90.56670,416,285,255,0,0,0,0,0,0,0,0,4,247,0,0,0,4,30
Winter Survival of Female American Black Ducks on the Atlantic Coast,Conroy,1983,1985,1989,The Journal of Wildlife Management,53,1,99,109,Anseriformes,Anatidae,Anas,rubripes,Adult,39.45340,-74.41112,227,70,70,32,32,0,0,0,0,0,0,2,12,0,0,3,21,0
